"nombre","Nacional"
"31-12-2019",0
"01-01-2020",1
"02-01-2020",0
"03-01-2020",0
"04-01-2020",0
"05-01-2020",0
"06-01-2020",0
"07-01-2020",1
"08-01-2020",3
"09-01-2020",0
"10-01-2020",2
"11-01-2020",0
"12-01-2020",0
"13-01-2020",1
"14-01-2020",2
"15-01-2020",0
"16-01-2020",0
"17-01-2020",1
"18-01-2020",0
"19-01-2020",1
"20-01-2020",2
"21-01-2020",2
"22-01-2020",2
"23-01-2020",1
"24-01-2020",1
"25-01-2020",1
"26-01-2020",1
"27-01-2020",1
"28-01-2020",1
"29-01-2020",1
"30-01-2020",1
"31-01-2020",0
"01-02-2020",0
"02-02-2020",0
"03-02-2020",1
"04-02-2020",1
"05-02-2020",2
"06-02-2020",1
"07-02-2020",0
"08-02-2020",0
"09-02-2020",0
"10-02-2020",1
"11-02-2020",1
"12-02-2020",1
"13-02-2020",2
"14-02-2020",1
"15-02-2020",0
"16-02-2020",0
"17-02-2020",0
"18-02-2020",0
"19-02-2020",1
"20-02-2020",0
"21-02-2020",0
"22-02-2020",1
"23-02-2020",0
"24-02-2020",1
"25-02-2020",1
"26-02-2020",1
"27-02-2020",9
"28-02-2020",5
"29-02-2020",3
"01-03-2020",1
"02-03-2020",6
"03-03-2020",11
"04-03-2020",10
"05-03-2020",10
"06-03-2020",6
"07-03-2020",7
"08-03-2020",8
"09-03-2020",5
"10-03-2020",17
"11-03-2020",39
"12-03-2020",41
"13-03-2020",68
"14-03-2020",52
"15-03-2020",38
"16-03-2020",76
"17-03-2020",105
"18-03-2020",116
"19-03-2020",151
"20-03-2020",132
"21-03-2020",85
"22-03-2020",71
"23-03-2020",165
"24-03-2020",221
"25-03-2020",185
"26-03-2020",225
"27-03-2020",262
"28-03-2020",191
"29-03-2020",166
"30-03-2020",344
"31-03-2020",311
"01-04-2020",380
"02-04-2020",342
"03-04-2020",389
"04-04-2020",248
"05-04-2020",258
"06-04-2020",627
"07-04-2020",514
"08-04-2020",579
"09-04-2020",483
"10-04-2020",569
"11-04-2020",464
"12-04-2020",474
"13-04-2020",944
"14-04-2020",927
"15-04-2020",979
"16-04-2020",993
"17-04-2020",1145
"18-04-2020",812
"19-04-2020",784
"20-04-2020",1513
"21-04-2020",1461
"22-04-2020",1415
"23-04-2020",1503
"24-04-2020",1727
"25-04-2020",1153
"26-04-2020",1109
"27-04-2020",1930
"28-04-2020",1952
"29-04-2020",1930
"30-04-2020",1880
"01-05-2020",1542
"02-05-2020",1485
"03-05-2020",1370
"04-05-2020",2635
"05-05-2020",2224
"06-05-2020",2382
"07-05-2020",2524
"08-05-2020",2524
"09-05-2020",1647
"10-05-2020",1543
"11-05-2020",3105
"12-05-2020",3068
"13-05-2020",3225
"14-05-2020",3209
"15-05-2020",3675
"16-05-2020",2256
"17-05-2020",1726
"18-05-2020",4166
"19-05-2020",3701
"20-05-2020",4041
"21-05-2020",4102
"22-05-2020",4121
"23-05-2020",2406
"24-05-2020",2001
"25-05-2020",4779
"26-05-2020",4411
"27-05-2020",4556
"28-05-2020",4299
"29-05-2020",4455
"30-05-2020",2814
"31-05-2020",2183
"01-06-2020",5431
"02-06-2020",4828
"03-06-2020",5056
"04-06-2020",5005
"05-06-2020",5136
"06-06-2020",3137
"07-06-2020",2455
"08-06-2020",6275
"09-06-2020",5860
"10-06-2020",5812
"11-06-2020",5463
"12-06-2020",5717
"13-06-2020",3217
"14-06-2020",2689
"15-06-2020",6671
"16-06-2020",6466
"17-06-2020",6177
"18-06-2020",6150
"19-06-2020",6150
"20-06-2020",3710
"21-06-2020",2600
"22-06-2020",7001
"23-06-2020",6614
"24-06-2020",6359
"25-06-2020",6326
"26-06-2020",6613
"27-06-2020",3765
"28-06-2020",3052
"29-06-2020",7555
"30-06-2020",7228
"01-07-2020",7686
"02-07-2020",7079
"03-07-2020",7107
"04-07-2020",3745
"05-07-2020",3092
"06-07-2020",7875
"07-07-2020",7926
"08-07-2020",7446
"09-07-2020",7067
"10-07-2020",7220
"11-07-2020",3918
"12-07-2020",3265
"13-07-2020",8912
"14-07-2020",8454
"15-07-2020",8858
"16-07-2020",8258
"17-07-2020",8056
"18-07-2020",4451
"19-07-2020",3496
"20-07-2020",9127
"21-07-2020",8654
"22-07-2020",8303
"23-07-2020",8086
"24-07-2020",8018
"25-07-2020",4208
"26-07-2020",3053
"27-07-2020",8529
"28-07-2020",8202
"29-07-2020",7667
"30-07-2020",7571
"31-07-2020",6731
"01-08-2020",3823
"02-08-2020",2553
"03-08-2020",7530
"04-08-2020",7396
"05-08-2020",7155
"06-08-2020",6680
"07-08-2020",6621
"08-08-2020",3682
"09-08-2020",2431
"10-08-2020",7257
"11-08-2020",6881
"12-08-2020",6485
"13-08-2020",6459
"14-08-2020",6218
"15-08-2020",3251
"16-08-2020",2332
"17-08-2020",6914
"18-08-2020",6724
"19-08-2020",6304
"20-08-2020",6020
"21-08-2020",6305
"22-08-2020",3158
"23-08-2020",2345
"24-08-2020",7096
"25-08-2020",6687
"26-08-2020",7034
"27-08-2020",6533
"28-08-2020",6333
"29-08-2020",3164
"30-08-2020",2241
"31-08-2020",7039
"01-09-2020",7157
"02-09-2020",6922
"03-09-2020",6292
"04-09-2020",6039
"05-09-2020",2900
"06-09-2020",2082
"07-09-2020",6421
"08-09-2020",6619
"09-09-2020",6054
"10-09-2020",5701
"11-09-2020",5500
"12-09-2020",2807
"13-09-2020",1911
"14-09-2020",6256
"15-09-2020",4371
"16-09-2020",2241
"17-09-2020",6408
"18-09-2020",5600
"19-09-2020",2813
"20-09-2020",1854
"21-09-2020",6294
"22-09-2020",6164
"23-09-2020",5811
"24-09-2020",5389
"25-09-2020",5276
"26-09-2020",2652
"27-09-2020",1825
"28-09-2020",6270
"29-09-2020",5938
"30-09-2020",5547
"01-10-2020",5276
"02-10-2020",5006
"03-10-2020",2452
"04-10-2020",1757
"05-10-2020",5919
"06-10-2020",5946
"07-10-2020",5773
"08-10-2020",5508
"09-10-2020",5652
"10-10-2020",3030
"11-10-2020",2200
"12-10-2020",6805
"13-10-2020",7130
"14-10-2020",6465
"15-10-2020",6469
"16-10-2020",6611
"17-10-2020",3348
"18-10-2020",2356
"19-10-2020",8228
"20-10-2020",8381
"21-10-2020",7410
