"nombre","Nacional"
"20-01-2020",0
"21-01-2020",1
"22-01-2020",0
"23-01-2020",0
"24-01-2020",0
"25-01-2020",0
"26-01-2020",0
"27-01-2020",0
"28-01-2020",0
"29-01-2020",0
"30-01-2020",0
"31-01-2020",0
"01-02-2020",0
"02-02-2020",0
"03-02-2020",0
"04-02-2020",0
"05-02-2020",0
"06-02-2020",0
"07-02-2020",1
"08-02-2020",0
"09-02-2020",0
"10-02-2020",0
"11-02-2020",0
"12-02-2020",0
"13-02-2020",0
"14-02-2020",0
"15-02-2020",0
"16-02-2020",0
"17-02-2020",0
"18-02-2020",0
"19-02-2020",0
"20-02-2020",0
"21-02-2020",0
"22-02-2020",0
"23-02-2020",0
"24-02-2020",0
"25-02-2020",0
"26-02-2020",0
"27-02-2020",0
"28-02-2020",0
"29-02-2020",0
"01-03-2020",0
"02-03-2020",0
"03-03-2020",1
"04-03-2020",0
"05-03-2020",0
"06-03-2020",0
"07-03-2020",0
"08-03-2020",0
"09-03-2020",0
"10-03-2020",0
"11-03-2020",0
"12-03-2020",0
"13-03-2020",1
"14-03-2020",0
"15-03-2020",0
"16-03-2020",0
"17-03-2020",2
"18-03-2020",3
"19-03-2020",0
"20-03-2020",1
"21-03-2020",0
"22-03-2020",2
"23-03-2020",1
"24-03-2020",3
"25-03-2020",2
"26-03-2020",8
"27-03-2020",9
"28-03-2020",15
"29-03-2020",9
"30-03-2020",14
"31-03-2020",26
"01-04-2020",22
"02-04-2020",27
"03-04-2020",33
"04-04-2020",38
"05-04-2020",33
"06-04-2020",57
"07-04-2020",61
"08-04-2020",50
"09-04-2020",61
"10-04-2020",77
"11-04-2020",82
"12-04-2020",84
"13-04-2020",99
"14-04-2020",110
"15-04-2020",114
"16-04-2020",105
"17-04-2020",139
"18-04-2020",135
"19-04-2020",179
"20-04-2020",206
"21-04-2020",213
"22-04-2020",212
"23-04-2020",224
"24-04-2020",261
"25-04-2020",276
"26-04-2020",305
"27-04-2020",277
"28-04-2020",314
"29-04-2020",381
"30-04-2020",346
"01-05-2020",407
"02-05-2020",353
"03-05-2020",362
"04-05-2020",452
"05-05-2020",445
"06-05-2020",407
"07-05-2020",400
"08-05-2020",436
"09-05-2020",410
"10-05-2020",441
"11-05-2020",453
"12-05-2020",480
"13-05-2020",488
"14-05-2020",539
"15-05-2020",549
"16-05-2020",526
"17-05-2020",578
"18-05-2020",579
"19-05-2020",576
"20-05-2020",562
"21-05-2020",567
"22-05-2020",547
"23-05-2020",539
"24-05-2020",598
"25-05-2020",619
"26-05-2020",610
"27-05-2020",593
"28-05-2020",618
"29-05-2020",570
"30-05-2020",598
"31-05-2020",624
"01-06-2020",683
"02-06-2020",644
"03-06-2020",670
"04-06-2020",649
"05-06-2020",589
"06-06-2020",657
"07-06-2020",683
"08-06-2020",734
"09-06-2020",681
"10-06-2020",700
"11-06-2020",669
"12-06-2020",723
"13-06-2020",692
"14-06-2020",711
"15-06-2020",709
"16-06-2020",766
"17-06-2020",753
"18-06-2020",672
"19-06-2020",648
"20-06-2020",609
"21-06-2020",690
"22-06-2020",666
"23-06-2020",641
"24-06-2020",641
"25-06-2020",623
"26-06-2020",666
"27-06-2020",694
"28-06-2020",689
"29-06-2020",749
"30-06-2020",713
"01-07-2020",686
"02-07-2020",692
"03-07-2020",696
"04-07-2020",733
"05-07-2020",750
"06-07-2020",821
"07-07-2020",820
"08-07-2020",732
"09-07-2020",758
"10-07-2020",725
"11-07-2020",734
"12-07-2020",751
"13-07-2020",824
"14-07-2020",798
"15-07-2020",797
"16-07-2020",808
"17-07-2020",763
"18-07-2020",746
"19-07-2020",801
"20-07-2020",796
"21-07-2020",834
"22-07-2020",742
"23-07-2020",781
"24-07-2020",723
"25-07-2020",774
"26-07-2020",783
"27-07-2020",799
"28-07-2020",774
"29-07-2020",681
"30-07-2020",745
"31-07-2020",674
"01-08-2020",731
"02-08-2020",690
"03-08-2020",755
"04-08-2020",771
"05-08-2020",714
"06-08-2020",686
"07-08-2020",642
"08-08-2020",679
"09-08-2020",647
"10-08-2020",671
"11-08-2020",694
"12-08-2020",615
"13-08-2020",611
"14-08-2020",576
"15-08-2020",584
"16-08-2020",571
"17-08-2020",624
"18-08-2020",564
"19-08-2020",584
"20-08-2020",559
"21-08-2020",554
"22-08-2020",567
"23-08-2020",523
"24-08-2020",538
"25-08-2020",543
"26-08-2020",516
"27-08-2020",488
"28-08-2020",528
"29-08-2020",512
"30-08-2020",522
"31-08-2020",543
"01-09-2020",497
"02-09-2020",485
"03-09-2020",485
"04-09-2020",473
"05-09-2020",454
