dt,AverageTemperature
1835-01-01,15.81
1835-02-01,14.911
1835-03-01,16.826
1835-04-01,19.925
1835-05-01,22.037
1835-06-01,23.458
1835-07-01,23.173
1835-08-01,22.731
1835-09-01,21.046
1835-10-01,19.052
1835-11-01,15.499999999999998
1835-12-01,13.45
1836-01-01,14.815
1836-02-01,15.823
1836-03-01,18.044
1836-04-01,20.422
1836-05-01,22.108
1836-06-01,23.753
1836-07-01,24.284
1836-08-01,23.492
1836-09-01,22.345
1836-10-01,19.701
1836-11-01,15.815999999999999
1836-12-01,14.443
1837-01-01,14.956
1837-02-01,15.899
1837-03-01,17.052
1837-04-01,18.938
1837-05-01,21.883000000000006
1837-06-01,24.024
1837-07-01,24.712
1837-08-01,24.266
1837-09-01,22.455
1837-10-01,19.535
1837-11-01,17.296
1837-12-01,15.037
1838-01-01,12.481
1838-02-01,13.600999999999999
1838-03-01,17.444000000000006
1838-04-01,20.592
1838-05-01,21.568
1838-06-01,24.476
1838-07-01,24.739
1838-08-01,23.992
1838-09-01,22.155
1838-10-01,19.933
1838-11-01,16.583
1838-12-01,14.48
1839-01-01,15.215
1839-02-01,16.076999999999998
1839-03-01,16.397000000000002
1839-04-01,21.592
1839-05-01,22.624
1839-06-01,24.574
1839-07-01,25.006999999999998
1839-08-01,24.449
1839-09-01,22.627
1839-10-01,20.228
1839-11-01,15.721999999999998
1839-12-01,12.918
1840-01-01,15.504
1840-02-01,15.911
1840-03-01,17.822000000000006
1840-04-01,20.745
1840-05-01,22.483
1840-06-01,24.664
1840-07-01,25.105
1840-08-01,23.91200000000001
1840-09-01,22.386
1840-10-01,19.403
1840-11-01,16.04
1840-12-01,14.62
1841-01-01,13.550999999999998
1841-02-01,15.902999999999999
1841-03-01,17.162000000000006
1841-04-01,20.359
1841-05-01,22.965
1841-06-01,24.271
1841-07-01,25.453000000000007
1841-08-01,24.284000000000002
1841-09-01,22.35
1841-10-01,20.311
1841-11-01,17.014
1841-12-01,15.232999999999999
1842-01-01,15.107
1842-02-01,16.211
1842-03-01,20.153
1842-04-01,21.171
1842-05-01,23.069000000000006
1842-06-01,24.133000000000006
1842-07-01,24.021
1842-08-01,23.812
1842-09-01,22.372
1842-10-01,20.046
1842-11-01,16.761999999999997
1842-12-01,15.556
1843-01-01,15.826
1843-02-01,16.762999999999998
1843-03-01,17.974
1843-04-01,21.179
1843-05-01,22.69
1843-06-01,23.965
1843-07-01,24.221999999999998
1843-08-01,23.712
1843-09-01,22.81
1843-10-01,19.825
1843-11-01,18.131
1843-12-01,16.183
1844-01-01,15.388
1844-02-01,16.374000000000002
1844-03-01,17.942
1844-04-01,20.563
1844-05-01,22.554000000000002
1844-06-01,23.912
1844-07-01,24.608
1844-08-01,23.77
1844-09-01,22.062
1844-10-01,20.407
1844-11-01,16.814999999999998
