"Fecha","Valor"
"31-12-2019",0
"01-01-2020",1
"02-01-2020",0
"03-01-2020",0
"04-01-2020",0
"05-01-2020",0
"06-01-2020",0
"07-01-2020",1
"08-01-2020",3
"09-01-2020",0
"10-01-2020",2
"11-01-2020",0
"12-01-2020",0
"13-01-2020",1
"14-01-2020",2
"15-01-2020",0
"16-01-2020",0
"17-01-2020",1
"18-01-2020",0
"19-01-2020",1
"20-01-2020",2
"21-01-2020",2
"22-01-2020",2
"23-01-2020",1
"24-01-2020",1
"25-01-2020",1
"26-01-2020",1
"27-01-2020",1
"28-01-2020",1
"29-01-2020",1
"30-01-2020",1
"31-01-2020",0
"01-02-2020",0
"02-02-2020",0
"03-02-2020",1
"04-02-2020",1
"05-02-2020",2
"06-02-2020",1
"07-02-2020",0
"08-02-2020",0
"09-02-2020",0
"10-02-2020",1
"11-02-2020",1
"12-02-2020",1
"13-02-2020",2
"14-02-2020",1
"15-02-2020",0
"16-02-2020",0
"17-02-2020",0
"18-02-2020",0
"19-02-2020",2
"20-02-2020",0
"21-02-2020",0
"22-02-2020",1
"23-02-2020",0
"24-02-2020",1
"25-02-2020",1
"26-02-2020",1
"27-02-2020",9
"28-02-2020",5
"29-02-2020",3
"01-03-2020",1
"02-03-2020",6
"03-03-2020",11
"04-03-2020",10
"05-03-2020",10
"06-03-2020",6
"07-03-2020",7
"08-03-2020",8
"09-03-2020",5
"10-03-2020",17
"11-03-2020",39
"12-03-2020",41
"13-03-2020",68
"14-03-2020",52
"15-03-2020",38
"16-03-2020",76
"17-03-2020",105
"18-03-2020",116
"19-03-2020",151
"20-03-2020",132
"21-03-2020",85
"22-03-2020",71
"23-03-2020",167
"24-03-2020",221
"25-03-2020",185
"26-03-2020",225
"27-03-2020",262
"28-03-2020",191
"29-03-2020",166
"30-03-2020",344
"31-03-2020",311
"01-04-2020",380
"02-04-2020",344
"03-04-2020",391
"04-04-2020",248
"05-04-2020",258
"06-04-2020",628
"07-04-2020",514
"08-04-2020",579
"09-04-2020",483
"10-04-2020",570
"11-04-2020",464
"12-04-2020",474
"13-04-2020",947
"14-04-2020",928
"15-04-2020",980
"16-04-2020",994
"17-04-2020",1147
"18-04-2020",815
"19-04-2020",785
"20-04-2020",1515
"21-04-2020",1461
"22-04-2020",1416
"23-04-2020",1504
"24-04-2020",1729
"25-04-2020",1157
"26-04-2020",1111
"27-04-2020",1934
"28-04-2020",1953
"29-04-2020",1930
"30-04-2020",1880
"01-05-2020",1546
"02-05-2020",1488
"03-05-2020",1369
"04-05-2020",2636
"05-05-2020",2226
"06-05-2020",2385
"07-05-2020",2524
"08-05-2020",2525
"09-05-2020",1648
"10-05-2020",1545
"11-05-2020",3107
"12-05-2020",3069
"13-05-2020",3227
"14-05-2020",3210
"15-05-2020",3678
"16-05-2020",2256
"17-05-2020",1727
"18-05-2020",4168
"19-05-2020",3701
"20-05-2020",4040
"21-05-2020",4104
"22-05-2020",4124
"23-05-2020",2410
"24-05-2020",2001
"25-05-2020",4781
"26-05-2020",4412
"27-05-2020",4559
"28-05-2020",4298
"29-05-2020",4456
"30-05-2020",2815
"31-05-2020",2187
"01-06-2020",5435
"02-06-2020",4827
"03-06-2020",5057
"04-06-2020",5010
"05-06-2020",5137
"06-06-2020",3140
"07-06-2020",2461
"08-06-2020",6271
"09-06-2020",5865
"10-06-2020",5813
"11-06-2020",5461
"12-06-2020",5722
"13-06-2020",3220
"14-06-2020",2691
"15-06-2020",6669
"16-06-2020",6474
"17-06-2020",6171
"18-06-2020",6148
"19-06-2020",6155
"20-06-2020",3714
"21-06-2020",2603
"22-06-2020",7012
"23-06-2020",6605
"24-06-2020",6361
"25-06-2020",6325
"26-06-2020",6613
"27-06-2020",3765
"28-06-2020",3051
"29-06-2020",7561
"30-06-2020",7222
"01-07-2020",7692
"02-07-2020",7077
"03-07-2020",7109
"04-07-2020",3746
"05-07-2020",3092
"06-07-2020",7870
"07-07-2020",7920
"08-07-2020",7451
"09-07-2020",7060
"10-07-2020",7215
"11-07-2020",3919
"12-07-2020",3268
"13-07-2020",8916
"14-07-2020",8459
"15-07-2020",8859
"16-07-2020",8262
"17-07-2020",8054
"18-07-2020",4449
"19-07-2020",3497
"20-07-2020",9131
"21-07-2020",8651
"22-07-2020",8304
"23-07-2020",8087
"24-07-2020",8028
"25-07-2020",4208
"26-07-2020",3054
"27-07-2020",8526
"28-07-2020",8201
"29-07-2020",7669
"30-07-2020",7566
"31-07-2020",6733
"01-08-2020",3822
"02-08-2020",2555
"03-08-2020",7527
"04-08-2020",7395
"05-08-2020",7159
"06-08-2020",6681
"07-08-2020",6625
"08-08-2020",3680
"09-08-2020",2434
"10-08-2020",7257
"11-08-2020",6878
"12-08-2020",6488
"13-08-2020",6458
"14-08-2020",6216
"15-08-2020",3252
"16-08-2020",2336
"17-08-2020",6911
"18-08-2020",6723
"19-08-2020",6303
"20-08-2020",6023
"21-08-2020",6307
"22-08-2020",3158
"23-08-2020",2344
"24-08-2020",7097
"25-08-2020",6686
"26-08-2020",7036
"27-08-2020",6530
"28-08-2020",6334
"29-08-2020",3162
"30-08-2020",2242
"31-08-2020",7042
"01-09-2020",7156
"02-09-2020",6918
"03-09-2020",6295
"04-09-2020",6038
"05-09-2020",2899
"06-09-2020",2087
"07-09-2020",6418
"08-09-2020",6620
"09-09-2020",6054
"10-09-2020",5701
"11-09-2020",5497
"12-09-2020",2807
"13-09-2020",1913
"14-09-2020",6262
"15-09-2020",4369
"16-09-2020",2242
"17-09-2020",6404
"18-09-2020",5602
"19-09-2020",2816
"20-09-2020",1855
"21-09-2020",6292
"22-09-2020",6165
"23-09-2020",5812
"24-09-2020",5391
"25-09-2020",5272
"26-09-2020",2652
"27-09-2020",1825
"28-09-2020",6273
"29-09-2020",5941
"30-09-2020",5542
"01-10-2020",5280
"02-10-2020",5001
"03-10-2020",2452
"04-10-2020",1760
"05-10-2020",5920
"06-10-2020",5949
"07-10-2020",5771
"08-10-2020",5514
"09-10-2020",5650
"10-10-2020",3031
"11-10-2020",2201
"12-10-2020",6804
"13-10-2020",7129
"14-10-2020",6466
"15-10-2020",6469
"16-10-2020",6613
"17-10-2020",3348
"18-10-2020",2360
"19-10-2020",8228
"20-10-2020",8380
"21-10-2020",7410
