nombre,Nacional
06-02-2020,0
07-02-2020,1
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0
03-03-2020,1
04-03-2020,0
05-03-2020,0
06-03-2020,0
07-03-2020,0
08-03-2020,0
09-03-2020,0
10-03-2020,0
11-03-2020,0
12-03-2020,0
13-03-2020,1
14-03-2020,0
15-03-2020,0
16-03-2020,0
17-03-2020,2
18-03-2020,3
19-03-2020,0
20-03-2020,1
21-03-2020,0
22-03-2020,2
23-03-2020,1
24-03-2020,2
25-03-2020,2
26-03-2020,8
27-03-2020,8
28-03-2020,15
29-03-2020,9
30-03-2020,12
31-03-2020,22
01-04-2020,19
02-04-2020,27
03-04-2020,33
04-04-2020,34
05-04-2020,32
06-04-2020,52
07-04-2020,57
08-04-2020,49
09-04-2020,55
10-04-2020,71
11-04-2020,72
12-04-2020,74
13-04-2020,87
14-04-2020,102
15-04-2020,107
16-04-2020,94
17-04-2020,118
18-04-2020,125
19-04-2020,162
20-04-2020,184
21-04-2020,181
22-04-2020,185
23-04-2020,193
24-04-2020,228
25-04-2020,250
26-04-2020,270
27-04-2020,244
28-04-2020,256
29-04-2020,334
30-04-2020,302
01-05-2020,348
02-05-2020,308
03-05-2020,300
04-05-2020,366
05-05-2020,363
06-05-2020,349
07-05-2020,335
08-05-2020,370
09-05-2020,364
10-05-2020,368
11-05-2020,389
12-05-2020,417
13-05-2020,425
14-05-2020,481
15-05-2020,481
16-05-2020,450
17-05-2020,521
18-05-2020,512
19-05-2020,520
20-05-2020,512
21-05-2020,510
22-05-2020,497
23-05-2020,489
24-05-2020,541
25-05-2020,565
26-05-2020,559
27-05-2020,542
28-05-2020,561
29-05-2020,518
30-05-2020,552
31-05-2020,579
01-06-2020,635
02-06-2020,590
03-06-2020,627
04-06-2020,611
05-06-2020,567
06-06-2020,616
07-06-2020,654
08-06-2020,705
09-06-2020,652
10-06-2020,667
11-06-2020,630
12-06-2020,687
13-06-2020,652
14-06-2020,677
15-06-2020,677
16-06-2020,742
17-06-2020,727
18-06-2020,648
19-06-2020,626
20-06-2020,569
21-06-2020,651
22-06-2020,645
23-06-2020,623
24-06-2020,616
25-06-2020,601
26-06-2020,658
27-06-2020,678
28-06-2020,673
29-06-2020,727
30-06-2020,697
01-07-2020,662
02-07-2020,670
03-07-2020,675
04-07-2020,706
05-07-2020,730
06-07-2020,802
07-07-2020,791
08-07-2020,720
09-07-2020,742
10-07-2020,707
11-07-2020,724
12-07-2020,731
13-07-2020,805
14-07-2020,780
15-07-2020,786
16-07-2020,801
17-07-2020,748
18-07-2020,734
19-07-2020,788
20-07-2020,781
21-07-2020,812
22-07-2020,722
23-07-2020,767
24-07-2020,711
25-07-2020,766
26-07-2020,774
27-07-2020,783
28-07-2020,759
29-07-2020,673
30-07-2020,737
31-07-2020,660
01-08-2020,724
02-08-2020,677
03-08-2020,741
04-08-2020,762
05-08-2020,705
06-08-2020,680
07-08-2020,633
08-08-2020,675
09-08-2020,638
10-08-2020,667
11-08-2020,680
12-08-2020,607
13-08-2020,603
14-08-2020,565
15-08-2020,570
16-08-2020,560
17-08-2020,615
18-08-2020,550
19-08-2020,577
20-08-2020,548
21-08-2020,544
22-08-2020,558
23-08-2020,508
24-08-2020,534
25-08-2020,539
26-08-2020,513
27-08-2020,483
28-08-2020,520
29-08-2020,503
30-08-2020,518
31-08-2020,537
01-09-2020,491
02-09-2020,479
03-09-2020,478
